start,end,audio_sensor,file
4150000,4425000,4,audio_sensor_4_sample_3.wav
5025000,5200000,4,audio_sensor_4_sample_4.wav
6700000,6875000,4,audio_sensor_4_sample_5.wav
7125000,7300000,4,audio_sensor_4_sample_6.wav
7350000,7525000,4,audio_sensor_4_sample_7.wav
11125000,11300000,4,audio_sensor_4_sample_8.wav
12525000,12700000,4,audio_sensor_4_sample_9.wav
14100000,14275000,4,audio_sensor_4_sample_10.wav
14475000,14700000,4,audio_sensor_4_sample_11.wav
15150000,15325000,4,audio_sensor_4_sample_12.wav
15725000,15900000,4,audio_sensor_4_sample_13.wav
17550000,17750000,4,audio_sensor_4_sample_14.wav
19350000,19525000,4,audio_sensor_4_sample_15.wav
20325000,20575000,4,audio_sensor_4_sample_16.wav
20600000,23850000,4,audio_sensor_4_sample_17.wav
23875000,24075000,4,audio_sensor_4_sample_18.wav
24125000,24325000,4,audio_sensor_4_sample_19.wav
24700000,25425000,4,audio_sensor_4_sample_20.wav
25500000,25675000,4,audio_sensor_4_sample_21.wav
25975000,26150000,4,audio_sensor_4_sample_22.wav
27725000,27900000,4,audio_sensor_4_sample_23.wav
28075000,31300000,4,audio_sensor_4_sample_24.wav
31325000,31550000,4,audio_sensor_4_sample_25.wav
31825000,32000000,4,audio_sensor_4_sample_26.wav
35500000,35675000,4,audio_sensor_4_sample_27.wav
36425000,36600000,4,audio_sensor_4_sample_28.wav
37125000,37300000,4,audio_sensor_4_sample_29.wav
39650000,39825000,4,audio_sensor_4_sample_30.wav
40225000,40400000,4,audio_sensor_4_sample_31.wav
40800000,41000000,4,audio_sensor_4_sample_32.wav
41500000,44400000,4,audio_sensor_4_sample_33.wav
44725000,44900000,4,audio_sensor_4_sample_34.wav
45000000,45175000,4,audio_sensor_4_sample_35.wav
